epsilon = 1.0e-10
cc -O3 -Wall -Werror -std=c99 -I/home/akshays/Codes/SuperLU_5.2.1/include -shared -fPIC -lm -lblas -L/home/akshays/Codes/SuperLU_5.2.1/lib -lsuperlu ./superlu_util.c -o /tmp/lua_rgp2Ws.so
[0 - 7f3583f81780] {4}{threads}: reservation ('CPU proc 1d00000000000009') cannot be satisfied
======================= Problem parameters ======================
           Nx, Ny, Nz           = 64, 64, 64
           Lx, Ly, Lz           = 2.000000, 2.000000, 2.000000
           dx, dy, dz           = 0.031250, 0.031250, 0.031250
           Time stepping method = CONSTANT_TIME_STEP
           dt                   = 0.001000
           prow, pcol           = 4, 4
           fileIO               = false
================================================================
Finished X matrices initialization
Finished Y matrices initialization
Finished Z matrices initialization
Finished LU initialization
Finished initialization

  Step |        Time |    Timestep |   Error rho |     Error u |     Error p |         TKE
-------|-------------|-------------|-------------|-------------|-------------|------------
     1 |  1.0000e-03 |  1.0000e-03 |  1.4999e+00 |  3.0000e+00 |  1.0000e+00 |  1.0000e+00
     2 |  2.0000e-03 |  1.0000e-03 |  1.4999e+00 |  3.0000e+00 |  1.0000e+00 |  1.0000e+00
     3 |  3.0000e-03 |  1.0000e-03 |  1.0001e+00 |  1.0001e+00 |  1.0001e+00 |  1.0000e+00
     4 |  4.0000e-03 |  1.0000e-03 |  1.5002e+00 |  3.0000e+00 |  1.0000e+00 |  1.0000e+00
     5 |  5.0000e-03 |  1.0000e-03 |  1.5002e+00 |  3.0000e+00 |  1.0000e+00 |  1.0000e+00
     6 |  6.0000e-03 |  1.0000e-03 |  1.5002e+00 |  3.0000e+00 |  1.0000e+00 |  1.0000e+00
     7 |  7.0000e-03 |  1.0000e-03 |  6.6667e-01 |  9.9748e-01 |  1.0000e+00 |  1.0000e+00
     8 |  8.0000e-03 |  1.0000e-03 |  1.5003e+00 |  3.0000e+00 |  1.0000e+00 |  1.0000e+00
     9 |  9.0000e-03 |  1.0000e-03 |  1.5003e+00 |  3.0000e+00 |  1.0000e+00 |  1.0000e+00
