:/home/akshays/Codes/hdf5-1.8.18/lib:/home/akshays/Codes/SuperLU_5.2.1/lib:/home/akshays/Codes/legion/bindings/terra:/home/akshays/Codes/hdf5-1.8.18/lib:/home/akshays/Codes/SuperLU_5.2.1/lib:/home/akshays/Codes/legion/bindings/terra:/home/akshays/Codes/WCHR-regent/src
[0 - 7f390c839780] {4}{threads}: reservation ('DMA request queue') cannot be satisfied
======================= Problem parameters ======================
           Nx, Ny, Nz           = 64, 64, 64
           Lx, Ly, Lz           = 2.000000, 2.000000, 2.000000
           dx, dy, dz           = 0.031250, 0.031250, 0.031250
           Time stepping method = CONSTANT_TIME_STEP
           dt                   = 0.001000
           prow, pcol           = 1, 1
           fileIO               = true
           prefix               = advection_3D_uzi_
================================================================
Finished X matrices initialization
Finished Y matrices initialization
Finished Z matrices initialization
Finished LU initialization
Finished initialization

Writing visualization file advection_3D_uzi_0000_px0000_pz0000.h5

  Step |        Time |    Timestep |     Min rho |     Max rho |       Min p |       Max p
-------|-------------|-------------|-------------|-------------|-------------|------------
     1 |  1.0000e-03 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
     2 |  2.0000e-03 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
     3 |  3.0000e-03 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
     4 |  4.0000e-03 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
     5 |  5.0000e-03 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
     6 |  6.0000e-03 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
     7 |  7.0000e-03 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
     8 |  8.0000e-03 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
     9 |  9.0000e-03 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
