epsilon = 1.0e-10
cc -O3 -Wall -Werror -std=c99 -I/home/akshays/Codes/SuperLU_5.2.1/include -shared -fPIC -lm -lblas -L/home/akshays/Codes/SuperLU_5.2.1/lib -lsuperlu ./superlu_util.c -o /tmp/lua_UQfDtr.so
[0 - 7f7ba22b7780] {4}{threads}: reservation ('CPU proc 1d00000000000001') cannot be satisfied
======================= Problem parameters ======================
           Nx, Ny, Nz           = 32, 32, 32
           Lx, Ly, Lz           = 6.283185, 6.283185, 6.283185
           dx, dy, dz           = 0.196350, 0.196350, 0.196350
           Time stepping method = CONSTANT_CFL_NUM
           CFL_num              = 0.600000
           prow, pcol           = 2, 2
           fileIO               = false
================================================================
Finished X matrices initialization
Finished Y matrices initialization
Finished Z matrices initialization
Finished LU initialization
Finished initialization

  Step |        Time |    Timestep |   Error rho |     Error u |     Error p |         TKE
-------|-------------|-------------|-------------|-------------|-------------|------------
     1 |  2.9674e-03 |  2.9674e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
     2 |  5.9349e-03 |  2.9674e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
     3 |  8.9023e-03 |  2.9674e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
     4 |  1.1870e-02 |  2.9674e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
     5 |  1.4837e-02 |  2.9674e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
     6 |  1.7805e-02 |  2.9674e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
     7 |  2.0772e-02 |  2.9674e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
     8 |  2.3739e-02 |  2.9674e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
     9 |  2.6707e-02 |  2.9674e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    10 |  2.9674e-02 |  2.9674e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    11 |  3.2641e-02 |  2.9674e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    12 |  3.5609e-02 |  2.9674e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    13 |  3.8576e-02 |  2.9674e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    14 |  4.1543e-02 |  2.9674e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    15 |  4.4511e-02 |  2.9673e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    16 |  4.7478e-02 |  2.9673e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    17 |  5.0446e-02 |  2.9673e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    18 |  5.3413e-02 |  2.9673e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    19 |  5.6380e-02 |  2.9673e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    20 |  5.9348e-02 |  2.9673e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    21 |  6.2315e-02 |  2.9673e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    22 |  6.5282e-02 |  2.9673e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    23 |  6.8249e-02 |  2.9673e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    24 |  7.1217e-02 |  2.9673e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    25 |  7.4184e-02 |  2.9673e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    26 |  7.7151e-02 |  2.9673e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    27 |  8.0119e-02 |  2.9673e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    28 |  8.3086e-02 |  2.9673e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    29 |  8.6053e-02 |  2.9673e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    30 |  8.9021e-02 |  2.9673e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    31 |  9.1988e-02 |  2.9673e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    32 |  9.4955e-02 |  2.9673e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    33 |  9.7923e-02 |  2.9673e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    34 |  1.0089e-01 |  2.9673e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    35 |  1.0386e-01 |  2.9673e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    36 |  1.0682e-01 |  2.9673e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    37 |  1.0979e-01 |  2.9673e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    38 |  1.1276e-01 |  2.9673e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    39 |  1.1573e-01 |  2.9673e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    40 |  1.1869e-01 |  2.9673e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    41 |  1.2166e-01 |  2.9673e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    42 |  1.2463e-01 |  2.9673e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    43 |  1.2760e-01 |  2.9673e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    44 |  1.3056e-01 |  2.9673e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    45 |  1.3353e-01 |  2.9673e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    46 |  1.3650e-01 |  2.9673e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    47 |  1.3946e-01 |  2.9673e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    48 |  1.4243e-01 |  2.9673e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    49 |  1.4540e-01 |  2.9673e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    50 |  1.4837e-01 |  2.9672e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00

  Step |        Time |    Timestep |   Error rho |     Error u |     Error p |         TKE
-------|-------------|-------------|-------------|-------------|-------------|------------
    51 |  1.5133e-01 |  2.9672e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    52 |  1.5430e-01 |  2.9672e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    53 |  1.5727e-01 |  2.9672e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    54 |  1.6024e-01 |  2.9672e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    55 |  1.6320e-01 |  2.9672e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    56 |  1.6617e-01 |  2.9672e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    57 |  1.6914e-01 |  2.9672e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    58 |  1.7210e-01 |  2.9672e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    59 |  1.7507e-01 |  2.9672e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    60 |  1.7804e-01 |  2.9672e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    61 |  1.8101e-01 |  2.9672e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    62 |  1.8397e-01 |  2.9672e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    63 |  1.8694e-01 |  2.9672e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    64 |  1.8991e-01 |  2.9672e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    65 |  1.9287e-01 |  2.9672e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    66 |  1.9584e-01 |  2.9672e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    67 |  1.9881e-01 |  2.9672e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    68 |  2.0178e-01 |  2.9672e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    69 |  2.0474e-01 |  2.9672e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    70 |  2.0771e-01 |  2.9672e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    71 |  2.1068e-01 |  2.9672e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    72 |  2.1365e-01 |  2.9672e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    73 |  2.1661e-01 |  2.9672e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    74 |  2.1958e-01 |  2.9672e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
