Taylor-Green Vortex
cc -O3 -Wall -Werror -std=c99 -I/home/akshays/Codes/SuperLU_5.2.1/include -shared -fPIC -lm -lblas -L/home/akshays/Codes/SuperLU_5.2.1/lib -lsuperlu ./superlu_util.c -o /tmp/lua_g8FRco.so
[0 - 7f84910fd780] {4}{threads}: reservation ('CPU proc 1d00000000000003') cannot be satisfied
======================= Problem parameters ======================
           Nx, Ny, Nz           = 32, 32, 32
           Lx, Ly, Lz           = 6.283185, 6.283185, 6.283185
           dx, dy, dz           = 0.196350, 0.196350, 0.196350
           Time stepping method = CONSTANT_CFL_NUM
           CFL_num              = 0.600000
           prow, pcol           = 4, 4
           fileIO               = false
================================================================
Finished X matrices initialization
Finished Y matrices initialization
Finished Z matrices initialization
Finished LU initialization
Finished initialization
TKE, Enstrophy = 4096, 24576
  Step |        Time |    Timestep |   Error rho |     Error u |     Error p |         TKE |   Enstrophy
-------|-------------|-------------|-------------|-------------|-------------|-------------|------------
     1 |  2.9674e-03 |  2.9674e-03 |  3.6566e-04 |  9.5892e-03 | 2.2069e-312 |  1.0000e+00 |  1.0000e+00
     2 |  5.9349e-03 |  2.9674e-03 |  3.7695e-02 |  9.9809e-04 |  1.8622e-13 |  1.0000e+00 |  1.0000e+00
     3 |  8.9023e-03 |  2.9674e-03 |  3.6569e-04 | -9.4757e-03 | -1.5949e-02 |  1.0000e+00 |  1.0000e+00
     4 |  1.1870e-02 |  2.9674e-03 | -0.0000e+00 |  5.0930e+00 | -1.6074e-01 |  1.0000e+00 |  1.0000e+00
     5 |  1.4837e-02 |  2.9674e-03 |  3.6568e-04 |  9.4189e-03 |  1.5582e-02 |  1.0000e+00 |  1.0000e+00
     6 |  1.7805e-02 |  2.9674e-03 | 3.9525e-323 | 7.9051e-323 | 7.9051e-323 |  1.0000e+00 |  1.0000e+00
     7 |  2.0772e-02 |  2.9674e-03 |  0.0000e+00 |  3.3333e-01 | -1.6062e-01 |  1.0000e+00 |  1.0000e+00
     8 |  2.3739e-02 |  2.9674e-03 |  3.6586e-04 |  9.7824e-03 | 2.2069e-312 |  1.0000e+00 |  1.0001e+00
     9 |  2.6707e-02 |  2.9674e-03 |  3.6573e-04 | -9.8115e-03 | -1.1167e-04 |  1.0000e+00 |  1.0001e+00
    10 |  2.9674e-02 |  2.9674e-03 |  3.6574e-04 |  9.2746e-03 | -1.3282e-04 |  1.0000e+00 |  1.0001e+00
    11 |  3.2641e-02 |  2.9674e-03 | -0.0000e+00 |  5.0930e+00 | -1.5468e-04 |  1.0000e+00 |  1.0001e+00
    12 |  3.5609e-02 |  2.9674e-03 |  3.7706e-02 |  1.2782e-03 | -1.5827e-02 |  1.0000e+00 |  1.0001e+00
    13 |  3.8576e-02 |  2.9674e-03 |  3.6580e-04 | -9.9203e-03 |  1.5995e-01 |  1.0000e+00 |  1.0002e+00
    14 |  4.1543e-02 |  2.9674e-03 |  3.5502e-06 |  9.6636e-02 |  1.5581e-03 |  1.0000e+00 |  1.0002e+00
    15 |  4.4511e-02 |  2.9673e-03 |  3.7713e-02 | -5.1722e-04 |  7.4719e-04 |  1.0000e+00 |  1.0002e+00
    16 |  4.7478e-02 |  2.9673e-03 |  3.6647e-04 |  1.0005e-02 |  1.5058e-02 |  1.0000e+00 |  1.0002e+00
    17 |  5.0446e-02 |  2.9673e-03 |  0.0000e+00 |  5.0930e+00 |  1.5972e-01 |  1.0000e+00 |  1.0003e+00
    18 |  5.3413e-02 |  2.9673e-03 |  3.6668e-04 | -9.0489e-03 | -1.3969e-01 |  1.0000e+00 |  1.0003e+00
    19 |  5.6380e-02 |  2.9673e-03 |  3.6597e-04 | -1.0081e-02 | -3.3907e-04 |  1.0000e+00 |  1.0003e+00
    20 |  5.9348e-02 |  2.9673e-03 |  3.7726e-02 |  1.5034e-03 |  1.6721e-02 |  1.0000e+00 |  1.0004e+00
    21 |  6.2315e-02 |  2.9673e-03 | 2.1220e-313 | 5.7294e-313 | 2.2069e-312 |  1.0000e+00 |  1.0004e+00
    22 |  6.5282e-02 |  2.9673e-03 |  3.7735e-02 | -3.1975e-04 | -1.6137e-01 |  1.0000e+00 |  1.0004e+00
    23 |  6.8249e-02 |  2.9673e-03 | -0.0000e+00 |  5.0930e+00 | -1.0390e-03 |  1.0000e+00 |  1.0005e+00
    24 |  7.1217e-02 |  2.9673e-03 |  3.5561e-06 | -9.7636e-02 | -1.6139e-01 |  1.0000e+00 |  1.0005e+00
    25 |  7.4184e-02 |  2.9673e-03 |  3.6764e-04 |  1.0280e-02 |  2.6966e-03 |  1.0000e+00 |  1.0006e+00
    26 |  7.7151e-02 |  2.9673e-03 |  3.6780e-04 |  1.0313e-02 | -1.4651e-02 |  1.0000e+00 |  1.0006e+00
    27 |  8.0119e-02 |  2.9673e-03 |  0.0000e+00 |  5.0930e+00 |  1.5863e-02 |  1.0000e+00 |  1.0007e+00
    28 |  8.3086e-02 |  2.9673e-03 |  3.5593e-06 |  9.6145e-02 |  6.4475e-02 |  1.0000e+00 |  1.0007e+00
    29 |  8.6053e-02 |  2.9673e-03 |  3.6640e-04 | -1.0347e-02 | -1.4533e-02 |  1.0000e+00 |  1.0008e+00
