Taylor-Green Vortex
cc -O3 -Wall -Werror -std=c99 -I/home/akshays/Codes/SuperLU_5.2.1/include -shared -fPIC -lm -lblas -L/home/akshays/Codes/SuperLU_5.2.1/lib -lsuperlu ./superlu_util.c -o /tmp/lua_3DalcT.so
[0 - 7f7da8813780] {4}{threads}: reservation ('CPU proc 1d00000000000001') cannot be satisfied
======================= Problem parameters ======================
           Nx, Ny, Nz           = 32, 32, 32
           Lx, Ly, Lz           = 6.283185, 6.283185, 6.283185
           dx, dy, dz           = 0.196350, 0.196350, 0.196350
           Time stepping method = CONSTANT_CFL_NUM
           CFL_num              = 0.300000
           prow, pcol           = 4, 4
           fileIO               = false
================================================================
Finished X matrices initialization
Finished Y matrices initialization
Finished Z matrices initialization
Finished LU initialization
Finished initialization
TKE, Enstrophy = 4096, 24576
  Step |        Time |    Timestep |   Error rho |     Error u |     Error p |         TKE |   Enstrophy
-------|-------------|-------------|-------------|-------------|-------------|-------------|------------
     1 |  1.4837e-03 |  1.4837e-03 | -0.0000e+00 |  5.0930e+00 | -1.5790e-02 |  1.0000e+00 |  1.0000e+00
     2 |  2.9674e-03 |  1.4837e-03 | 2.1220e-313 | 6.5782e-313 | 2.2069e-312 |  1.0000e+00 |  1.0000e+00
     3 |  4.4512e-03 |  1.4837e-03 |  3.5471e-06 | -9.7117e-02 |  1.5574e-03 |  1.0000e+00 |  1.0000e+00
     4 |  5.9349e-03 |  1.4837e-03 | 3.9525e-323 | 7.9051e-323 | 7.9051e-323 |  1.0000e+00 |  1.0000e+00
     5 |  7.4186e-03 |  1.4837e-03 |  6.6667e-01 |  1.0000e+00 |  6.6609e-07 |  1.0000e+00 |  1.0000e+00
     6 |  8.9023e-03 |  1.4837e-03 |  0.0000e+00 |  3.3333e-01 | -1.5574e-03 |  1.0000e+00 |  1.0000e+00
     7 |  1.0386e-02 |  1.4837e-03 |  3.7696e-02 |  1.0403e-03 | 2.2705e-312 |  1.0000e+00 |  1.0000e+00
     8 |  1.1870e-02 |  1.4837e-03 | 3.9525e-323 | 7.9051e-323 | 7.9051e-323 |  1.0000e+00 |  1.0000e+00
     9 |  1.3353e-02 |  1.4837e-03 | 3.3528e-312 | 3.5225e-312 | 2.2493e-312 |  1.0000e+00 |  1.0000e+00
