epsilon = 1.0e-10
cc -O3 -Wall -Werror -std=c99 -I/home/akshays/Codes/SuperLU_5.2.1/include -shared -fPIC -lm -lblas -L/home/akshays/Codes/SuperLU_5.2.1/lib -lsuperlu ./superlu_util.c -o /tmp/lua_lI8yNA.so
[0 - 7f88a92c7780] {4}{threads}: reservation ('CPU proc 1d0000000000000a') cannot be satisfied
======================= Problem parameters ======================
           Nx, Ny, Nz           = 64, 64, 64
           Lx, Ly, Lz           = 6.283185, 6.283185, 6.283185
           dx, dy, dz           = 0.098175, 0.098175, 0.098175
           Time stepping method = CONSTANT_CFL_NUM
           CFL_num              = 0.600000
           prow, pcol           = 4, 4
           fileIO               = false
================================================================
Finished X matrices initialization
Finished Y matrices initialization
Finished Z matrices initialization
Finished LU initialization
Finished initialization

  Step |        Time |    Timestep |   Error rho |     Error u |     Error p |         TKE
-------|-------------|-------------|-------------|-------------|-------------|------------
     1 |  1.4835e-03 |  1.4835e-03 |  4.9642e-01 |  9.9284e-01 |  5.0215e-17 |  1.0000e+00
     2 |  2.9670e-03 |  1.4835e-03 |  4.9644e-01 |  9.9288e-01 |  7.7121e-16 |  1.0000e+00
     3 |  4.4505e-03 |  1.4835e-03 |  5.7915e-06 |  1.1583e-05 |  1.1779e-08 |  1.0000e+00
     4 |  5.9340e-03 |  1.4835e-03 |  2.3960e-03 |  4.7920e-03 |  2.0940e-08 |  1.0000e+00
     5 |  7.4175e-03 |  1.4835e-03 |  6.6667e-01 |  1.0000e+00 | -1.9621e-07 |  1.0000e+00
     6 |  8.9010e-03 |  1.4835e-03 |  4.9653e-01 |  9.9305e-01 |  5.2067e-14 |  1.0000e+00
     7 |  1.0384e-02 |  1.4835e-03 |  2.3959e-03 |  4.7917e-03 |  6.4125e-08 |  1.0000e+00
     8 |  1.1868e-02 |  1.4835e-03 |  2.3958e-03 |  4.7916e-03 |  8.3753e-08 |  1.0000e+00
     9 |  1.3351e-02 |  1.4835e-03 |  4.9660e-01 |  9.9321e-01 |  2.2589e-13 |  1.0000e+00
    10 |  1.4835e-02 |  1.4835e-03 |  4.9663e-01 |  9.9326e-01 |  3.2605e-13 |  1.0000e+00
    11 |  1.6318e-02 |  1.4835e-03 |  2.3956e-03 |  4.7912e-03 |  1.5833e-07 |  1.0000e+00
    12 |  1.7802e-02 |  1.4835e-03 |  5.9232e-06 |  1.1846e-05 |  1.8850e-07 |  1.0000e+00
    13 |  1.9285e-02 |  1.4835e-03 |  6.6667e-01 |  1.0000e+00 |  8.8584e-07 |  1.0000e+00
    14 |  2.0769e-02 |  1.4835e-03 |  4.9675e-01 |  9.9350e-01 |  9.9468e-13 |  1.0000e+00
    15 |  2.2252e-02 |  1.4835e-03 |  1.2117e-03 |  2.4233e-03 |  1.0520e-11 |  1.0000e+00
    16 |  2.3736e-02 |  1.4835e-03 |  4.9681e-01 |  9.9362e-01 |  1.5030e-12 |  1.0000e+00
    17 |  2.5219e-02 |  1.4835e-03 |  2.3950e-03 |  4.7901e-03 |  3.7806e-07 |  1.0000e+00
    18 |  2.6703e-02 |  1.4835e-03 |  6.6667e-01 |  1.0000e+00 |  1.4583e-06 |  1.0000e+00
    19 |  2.8186e-02 |  1.4835e-03 |  4.9690e-01 |  9.9381e-01 |  2.4796e-12 |  1.0000e+00
    20 |  2.9670e-02 |  1.4835e-03 |  4.9694e-01 |  9.9387e-01 |  2.8588e-12 |  1.0000e+00
    21 |  3.1154e-02 |  1.4835e-03 |  2.3946e-03 |  4.7893e-03 |  5.7675e-07 |  1.0000e+00
    22 |  3.2637e-02 |  1.4835e-03 |  6.6667e-01 |  1.0000e+00 | -4.1372e-06 |  1.0000e+00
    23 |  3.4121e-02 |  1.4835e-03 |  2.3945e-03 |  4.7889e-03 |  6.9173e-07 |  1.0000e+00
    24 |  3.5604e-02 |  1.4835e-03 |  2.3944e-03 |  4.7888e-03 |  7.5313e-07 |  1.0000e+00
    25 |  3.7088e-02 |  1.4835e-03 |  4.9709e-01 |  9.9419e-01 |  5.1117e-12 |  1.0000e+00
    26 |  3.8571e-02 |  1.4835e-03 |  4.9712e-01 |  9.9425e-01 |  5.6296e-12 |  1.0000e+00
    27 |  4.0055e-02 |  1.4835e-03 |  1.2231e-03 |  2.4463e-03 |  1.2117e-10 |  1.0000e+00
    28 |  4.1538e-02 |  1.4835e-03 |  1.1746e-03 |  2.3492e-03 |  1.1801e-10 |  1.0000e+00
    29 |  4.3022e-02 |  1.4835e-03 |  1.4835e-03 | -1.0564e+00 |  1.8817e-01 |  1.0000e+00
    30 |  4.4505e-02 |  1.4835e-03 |  1.1730e-03 |  2.3460e-03 |  1.5469e-10 |  1.0000e+00
    31 |  4.5989e-02 |  1.4835e-03 |  2.3940e-03 |  4.7881e-03 |  1.2557e-06 |  1.0000e+00
    32 |  4.7472e-02 |  1.4835e-03 |  4.9729e-01 |  9.9458e-01 |  9.2548e-12 |  1.0000e+00
    33 |  4.8956e-02 |  1.4835e-03 |  6.6667e-01 |  1.0000e+00 | -1.1928e-03 |  1.0000e+00
    34 |  5.0439e-02 |  1.4835e-03 |  4.9610e-01 |  9.9221e-01 |  7.7531e-11 |  1.0000e+00
    35 |  5.1923e-02 |  1.4835e-03 |  6.9776e-06 |  1.3955e-05 |  1.6046e-06 |  1.0000e+00
    36 |  5.3406e-02 |  1.4835e-03 |  2.3941e-03 |  4.7882e-03 |  1.6926e-06 |  1.0000e+00
