Taylor-Green Vortex
cc -O3 -Wall -Werror -std=c99 -I/home/akshays/Codes/SuperLU_5.2.1/include -shared -fPIC -lm -lblas -L/home/akshays/Codes/SuperLU_5.2.1/lib -lsuperlu ./superlu_util.c -o /tmp/lua_KACsOo.so
[0 - 7f953cc17780] {4}{threads}: reservation ('CPU proc 1d0000000000000b') cannot be satisfied
======================= Problem parameters ======================
           Nx, Ny, Nz           = 64, 64, 64
           Lx, Ly, Lz           = 6.283185, 6.283185, 6.283185
           dx, dy, dz           = 0.098175, 0.098175, 0.098175
           Time stepping method = CONSTANT_CFL_NUM
           CFL_num              = 0.600000
           prow, pcol           = 4, 4
           fileIO               = false
================================================================
Finished X matrices initialization
Finished Y matrices initialization
Finished Z matrices initialization
Finished LU initialization
Finished initialization
TKE, Enstrophy = 32768, 196608
  Step |        Time |    Timestep |   Error rho |     Error u |     Error p |         TKE |   Enstrophy
-------|-------------|-------------|-------------|-------------|-------------|-------------|------------
     1 |  1.4835e-03 |  1.4835e-03 |  9.5842e-03 | -1.1457e-04 | 2.2069e-312 |  1.0000e+00 |  1.0000e+00
     2 |  2.9670e-03 |  1.4835e-03 |  5.5826e-08 | -4.8957e-02 | -4.0119e-03 |  1.0000e+00 |  1.0000e+00
     3 |  4.4505e-03 |  1.4835e-03 |  2.3131e-05 | -2.3940e-03 |  3.9824e-03 |  1.0000e+00 |  1.0000e+00
     4 |  5.9340e-03 |  1.4835e-03 |  2.3131e-05 | -2.4189e-03 |  1.6550e+00 |  1.0000e+00 |  1.0000e+00
     5 |  7.4175e-03 |  1.4835e-03 |  2.3131e-05 |  2.3869e-03 |  4.0294e-03 |  1.0000e+00 |  1.0000e+00
     6 |  8.9010e-03 |  1.4835e-03 |  2.3133e-05 |  2.4259e-03 | -7.7779e-02 |  1.0000e+00 |  1.0000e+00
     7 |  1.0384e-02 |  1.4835e-03 |  2.3132e-05 | -2.4295e-03 |  4.0410e-03 |  1.0000e+00 |  1.0000e+00
     8 |  1.1868e-02 |  1.4835e-03 |  9.5846e-03 |  1.4660e-04 | -4.0006e-03 |  1.0000e+00 |  1.0000e+00
     9 |  1.3351e-02 |  1.4835e-03 |  2.3132e-05 | -2.4366e-03 | -5.2933e-05 |  1.0000e+00 |  1.0000e+00
    10 |  1.4835e-02 |  1.4835e-03 |  5.5832e-08 |  4.8911e-02 |  4.0006e-03 |  1.0000e+00 |  1.0000e+00
    11 |  1.6318e-02 |  1.4835e-03 |  0.0000e+00 |  1.0186e+01 |  2.6120e-04 |  1.0000e+00 |  1.0000e+00
    12 |  1.7802e-02 |  1.4835e-03 |  9.5850e-03 |  1.6079e-04 | -7.4130e-02 |  1.0000e+00 |  1.0000e+00
    13 |  1.9285e-02 |  1.4835e-03 |  2.3140e-05 | -2.3577e-03 | -8.0492e-05 |  1.0000e+00 |  1.0000e+00
    14 |  2.0769e-02 |  1.4835e-03 |  9.5852e-03 |  1.6788e-04 | -7.3508e-05 |  1.0000e+00 |  1.0000e+00
    15 |  2.2252e-02 |  1.4835e-03 |  2.3134e-05 |  2.3507e-03 | -7.2304e-02 |  1.0000e+00 |  1.0001e+00
    16 |  2.3736e-02 |  1.4835e-03 |  9.5856e-03 |  1.7496e-04 | -4.0928e-03 |  1.0000e+00 |  1.0001e+00
    17 |  2.5219e-02 |  1.4835e-03 |  5.5843e-08 |  4.8881e-02 | -1.0086e-04 |  1.0000e+00 |  1.0001e+00
    18 |  2.6703e-02 |  1.4835e-03 |  5.5845e-08 |  4.8876e-02 |  2.1864e-02 |  1.0000e+00 |  1.0001e+00
    19 |  2.8186e-02 |  1.4835e-03 |  2.3149e-05 | -2.3358e-03 |  1.5540e-02 |  1.0000e+00 |  1.0001e+00
    20 |  2.9670e-02 |  1.4835e-03 |  2.3136e-05 | -2.4749e-03 | -1.0968e-04 |  1.0000e+00 |  1.0001e+00
    21 |  3.1154e-02 |  1.4835e-03 |  2.3153e-05 | -2.3285e-03 |  9.4161e-02 |  1.0000e+00 |  1.0001e+00
    22 |  3.2637e-02 |  1.4835e-03 |  2.3137e-05 |  2.3251e-03 |  1.3783e-04 |  1.0000e+00 |  1.0001e+00
    23 |  3.4121e-02 |  1.4835e-03 |  2.3138e-05 | -2.4852e-03 | -1.4660e-04 |  1.0000e+00 |  1.0001e+00
    24 |  3.5604e-02 |  1.4835e-03 |  0.0000e+00 |  1.0186e+01 |  4.1384e-03 |  1.0000e+00 |  1.0001e+00
    25 |  3.7088e-02 |  1.4835e-03 |  5.5864e-08 | -4.9021e-02 | -1.4522e-04 |  1.0000e+00 |  1.0001e+00
    26 |  3.8571e-02 |  1.4835e-03 |  0.0000e+00 |  1.0186e+01 |  1.1795e-02 |  1.0000e+00 |  1.0002e+00
    27 |  4.0055e-02 |  1.4835e-03 |  9.5880e-03 |  2.1388e-04 | -1.6729e+00 |  1.0000e+00 |  1.0002e+00
    28 |  4.1538e-02 |  1.4835e-03 |  5.5874e-08 | -4.9027e-02 | -8.6991e-05 |  1.0000e+00 |  1.0002e+00
    29 |  4.3022e-02 |  1.4835e-03 |  0.0000e+00 |  1.0186e+01 |  4.0037e-03 |  1.0000e+00 |  1.0002e+00
    30 |  4.4505e-02 |  1.4835e-03 |  2.3177e-05 |  2.5096e-03 | -1.9383e-04 |  1.0000e+00 |  1.0002e+00
    31 |  4.5989e-02 |  1.4835e-03 |  2.3143e-05 |  2.2918e-03 |  3.7833e-04 |  1.0000e+00 |  1.0002e+00
    32 |  4.7472e-02 |  1.4835e-03 |  2.3183e-05 | -2.2893e-03 | -8.1598e-02 |  1.0000e+00 |  1.0002e+00
    33 |  4.8956e-02 |  1.4835e-03 |  2.3186e-05 |  2.5205e-03 | -1.9408e-04 |  1.0000e+00 |  1.0002e+00
    34 |  5.0439e-02 |  1.4835e-03 |  2.3147e-05 | -2.5224e-03 | 2.2069e-312 |  1.0000e+00 |  1.0003e+00
    35 |  5.1923e-02 |  1.4835e-03 |  9.5905e-03 |  2.4230e-04 | -6.0109e-02 |  1.0000e+00 |  1.0003e+00
    36 |  5.3406e-02 |  1.4835e-03 |  2.3197e-05 |  2.5316e-03 |  2.3430e-04 |  1.0000e+00 |  1.0003e+00
    37 |  5.4890e-02 |  1.4835e-03 | -0.0000e+00 |  1.0186e+01 | -3.7808e-03 |  1.0000e+00 |  1.0003e+00
    38 |  5.6373e-02 |  1.4835e-03 |  0.0000e+00 |  1.0186e+01 |  2.9191e-04 |  1.0000e+00 |  1.0003e+00
    39 |  5.7857e-02 |  1.4835e-03 |  9.5920e-03 |  2.5657e-04 | -1.0487e-01 |  1.0000e+00 |  1.0003e+00
    40 |  5.9340e-02 |  1.4835e-03 |  2.3212e-05 |  2.5467e-03 | -4.0068e-03 |  1.0000e+00 |  1.0004e+00
    41 |  6.0824e-02 |  1.4835e-03 |  2.3151e-05 |  2.2545e-03 |  1.9681e-04 |  1.0000e+00 |  1.0004e+00
    42 |  6.2307e-02 |  1.4835e-03 |  2.3152e-05 |  2.2508e-03 |  2.9504e-02 |  1.0000e+00 |  1.0004e+00
